request_id,mol_id,xyz_path,xyz_status,notes
qreq_879b224864f92bec,mol_dadafcfjdztokm-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_879b224864f92bec.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_91c17d903e588963,mol_cpaqqpjfmvgxbq-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_91c17d903e588963.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_bf1f02a26dd3cb81,mol_kopmuszlextodj-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_bf1f02a26dd3cb81.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_4f1ee4a24368d7ac,mol_aeaipekkskmlqs-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_4f1ee4a24368d7ac.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_d8d40be55a4ec087,mol_ckusamwaelhzny-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_d8d40be55a4ec087.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_7f1c4a19c9a25c14,mol_hqdibyvknaqtgx-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_7f1c4a19c9a25c14.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_0f03b2635e013b1e,mol_apxcrdlkxgapau-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_0f03b2635e013b1e.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_d4aeb7752ce5e130,mol_vrnlrjorpbmxnh-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_d4aeb7752ce5e130.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_2375048ebe9ca23c,mol_nqcsvhznkfxwme-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_2375048ebe9ca23c.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_3afabef60ece6c63,mol_oncblsbpbzzzqd-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_3afabef60ece6c63.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_b6c2e1d7fb809b35,mol_mlscyoqmivjhri-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_b6c2e1d7fb809b35.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_8e091a7b83eda4b1,mol_rahzwnyvwxnfoc-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_8e091a7b83eda4b1.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_30b1689795b50457,mol_dpdkqdlrcniclt-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_30b1689795b50457.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_2ca08d6054501c45,mol_pbwhqpohaddefu-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_2ca08d6054501c45.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
qreq_796be1daedd7c5d1,mol_gvcuxnokyqgihh-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/quantum_dft_xyz/qreq_796be1daedd7c5d1.xyz,generated,XYZ copied from completed xTB optimized geometry for Psi4 singlepoint; Psi4 executor unavailable
